imagelink,imagelink-href,title,artist,country,height,width,price,views,favorites,subject,mediums,date
"boat and rocks","https://www.saatchiart.com/art/Painting-boat-and-rocks/746251/2825407/view","boat and rocks","Giorgio Gosti","Italy","17","13","250","834","24","Landscape","Watercolor","1454976000000"
"Parallel","https://www.saatchiart.com/art/Painting-Parallel/768195/2720869/view","Parallel","Iryna Hrymalyuk","Canada","6","6","240","673","19","People","Acrylic, Oil","1420070400000"
"Endangered Species","https://www.saatchiart.com/art/Painting-Endangered-Species/296875/2622995/view","Endangered Species","Andy Cumming","United Kingdom","16","16","330","783","24","Culture","Acrylic, Ink, Paint, Spray Paint, Paper","1441238400000"
"park flowers august","https://www.saatchiart.com/art/Painting-park-flowers-august/83397/3131018/view","park flowers august","Joann Milano Neal","United States","5","8","135","244","9","Floral","Watercolor","1451606400000"
"""Summer's feeling"" - landscape fine art","https://www.saatchiart.com/art/Painting-Summer-s-feeling-landscape-fine-art/20453/3141492/view","""Summer's feeling"" - landscape fine art","Fabienne Monestier","France","11","11","242","579","35","Landscape","Oil","1420070400000"
"22-Memory.","https://www.saatchiart.com/art/Painting-22-Memory/45144/2662955/view","22-Memory.","CRIS ACQUA","Spain","8","11","290","603","14","Portrait","Ink, Acrylic, Gouache","1420070400000"
"A LINE IS A DOT THAT WENT FOR A WALK (panel 4)","https://www.saatchiart.com/art/Painting-A-LINE-IS-A-DOT-THAT-WENT-FOR-A-WALK-panel-4/856956/2844465/view","A LINE IS A DOT THAT WENT FOR A WALK (panel 4)","Sixfold Collective","United States","8","8","240","252","6","Abstract","Acrylic, Latex, ink, microbeads","1330560000000"
"Trout Brook Valley","https://www.saatchiart.com/art/Painting-Trout-Brook-Valley/329921/2465109/view","Trout Brook Valley","Allen Jones","United States","8","10","240","1367","37","Landscape","Oil","1427932800000"
"Woman #2","https://www.saatchiart.com/art/Painting-Woman-2/300979/2815934/view","Woman #2","Adam Wever-Glen","United States","12","12","245","676","21","Women","Oil","1451606400000"
"Pears","https://www.saatchiart.com/art/Painting-Pears/793491/2827405/view","Pears","isabel robledo","Spain","11","15","240","269","20","Food","Oil","1455062400000"
"Dry Hydrangea Bouquet","https://www.saatchiart.com/art/Painting-Dry-Hydrangea-Bouquet/285589/2722064/view","Dry Hydrangea Bouquet","Katia Bellini","United Kingdom","18","13","390","381","17","Floral","Oil","1420070400000"
"Red Tulip","https://www.saatchiart.com/art/Painting-Red-Tulip/421610/2929868/view","Red Tulip","stef wigg","United Kingdom","12","12","200","260","8","Still Life","Oil","1460419200000"
"""Urban Heart""","https://www.saatchiart.com/art/Painting-Urban-Heart/710107/2909028/view","""Urban Heart""","Tatiana Iliina","Canada","20","16","205","866","38","Cities","Acrylic","1451606400000"
"cloudy sunset landscape  "" paisaje en atardecer nublado""","https://www.saatchiart.com/art/Painting-cloudy-sunset-landscape-paisaje-en-atardecer-nublado/845056/2779674/view","cloudy sunset landscape  "" paisaje en atardecer nublado""","fernando ferrer","Spain","11","14","240","238","17","Landscape","Oil","1435363200000"
"Untitled (portrait)","https://www.saatchiart.com/art/Painting-Untitled-portrait/850102/3527682/view","Untitled (portrait)","DIEGO SCOLARI","Italy","9","7","195","31","4","Women","Oil","1483228800000"
"Limestone 6","https://www.saatchiart.com/art/Painting-Limestone-6/917633/3459838/view","Limestone 6","Sofia Malone","Sweden","11","15","260","46","7","Nature","Oil","1483228800000"
"Night kiss","https://www.saatchiart.com/art/Painting-Night-kiss/63101/3236618/view","Night kiss","Karda Zenkő","Romania","15","10","182","231","16","Love","Acrylic, Tempera","1451606400000"
"#54 of 100paintings project","https://www.saatchiart.com/art/Painting-54-of-100paintings-project/792144/2978524/view","#54 of 100paintings project","Elyce Abrams","United States","12","12","290","667","14","Abstract","Acrylic","1463443200000"
"Alone With My Thoughts","https://www.saatchiart.com/art/Painting-Alone-With-My-Thoughts/892686/3041873/view","Alone With My Thoughts","Andrea Cassetta","United States","14","11","235","157","8","Landscape","Acrylic","1451606400000"
"TWINS","https://www.saatchiart.com/art/Painting-TWINS/427067/3213769/view","TWINS","Emilia Milcheva","Bulgaria","19","19","280","139","8","Landscape","Acrylic","1451606400000"
"Little Room","https://www.saatchiart.com/art/Painting-Little-Room/788240/2499901/view","Little Room","Rachel Hayden","United States","12","12","245","199","8","Interiors","Acrylic","1433116800000"
"Green boat next to the pier","https://www.saatchiart.com/art/Painting-Green-boat-next-to-the-pier/793646/2503441/view","Green boat next to the pier","Anita Kobierska","United Kingdom","15","11","140","973","38","Boat","Oil","1429660800000"
"umbrellas","https://www.saatchiart.com/art/Painting-umbrellas/746251/2387829/view","umbrellas","Giorgio Gosti","Italy","15","11","220","703","25","Men","Watercolor","1426581300000"
"Snore In Church","https://www.saatchiart.com/art/Painting-Snore-In-Church/779963/2640082/view","Snore In Church","Mary Jo McGonagle","United States","12","12","275","346","12","Humor","Acrylic, Enamel","1420070400000"
"Untitled","https://www.saatchiart.com/art/Painting-Untitled/948079/3463726/view","Untitled","Margarita Sergeeva","","7","5","135","42","5","Abstract","Watercolor, Ink, Ballpoint Pen","1451606400000"
"Zebu (1)","https://www.saatchiart.com/art/Painting-Zebu-1/830354/3309920/view","Zebu (1)","Olga Kirichenko","Spain","19","19","210","256","14","Nature","Acrylic","1388534400000"
"""Colorado Gold""","https://www.saatchiart.com/art/Painting-Colorado-Gold/856187/2847960/view","""Colorado Gold""","Inge Wright","United States","8","8","290","609","16","Landscape","Paint","1420070400000"
"bamboo","https://www.saatchiart.com/art/Painting-bamboo/767851/3008016/view","bamboo","pechane sumie","France","11","15","195","249","5","Nature","Ink","1451606400000"
"Riverscape ten","https://www.saatchiart.com/art/Painting-Riverscape-ten/10411/2236325/view","Riverscape ten","Simon Hopkinson","United Kingdom","15","23","290","1813","31","Landscape","Acrylic","1262304000000"
"The Moon","https://www.saatchiart.com/art/Painting-The-Moon/729975/3059206/view","The Moon","Oksana Boguslavska","Ukraine","16","9","300","213","17","Nature","Oil","1293840000000"
"Reflection","https://www.saatchiart.com/art/Painting-Reflection/153295/3351085/view","Reflection","Andreea Bianca Velcsov","United States","14","11","240","226","5","Abstract","Acrylic, Marker","1451606400000"
"Sunrise Colour Study From Memory, Sandy Bay","https://www.saatchiart.com/art/Painting-Sunrise-Colour-Study-From-Memory-Sandy-Bay/904792/3482476/view","Sunrise Colour Study From Memory, Sandy Bay","Adrian Bradbury","Australia","8","8","240","31","3","Landscape","Oil","1483228800000"
"Within the Shadows","https://www.saatchiart.com/art/Painting-Within-the-Shadows/416637/2599891/view","Within the Shadows","Kimberley Bruce","Canada","9","12","240","816","37","Landscape","Acrylic","1420070400000"
"Introspectus #17","https://www.saatchiart.com/art/Painting-Introspectus-17/313699/2532856/view","Introspectus #17","Frederic Belaubre","France","16","11","225","1210","18","Women","Acrylic","1434499200000"
"Hello Again, Book 10 #4","https://www.saatchiart.com/art/Painting-Hello-Again-Book-10-4/599547/3269601/view","Hello Again, Book 10 #4","Heather Goodwind","United States","8","5","290","627","47","Erotic","Acrylic, Graphite, Pencil","1167609600000"
"Despot","https://www.saatchiart.com/art/Painting-Despot/835345/3375518/view","Despot","Kamal Lanier","United States","12","13","135","115","7","Portrait","Oil","1451606400000"
"design24","https://www.saatchiart.com/art/Painting-design24/798571/2888939/view","design24","Ron Halfant","United States","20","16","249","397","17","Abstract","Acrylic","1451606400000"
"Untitled","https://www.saatchiart.com/art/Painting-Untitled/560695/3173674/view","Untitled","Jon Cooper","Canada","14","11","220","344","15","Portrait","Watercolor","1451606400000"
"Stormy Tea Cup","https://www.saatchiart.com/art/Painting-Stormy-Tea-Cup/841947/2776273/view","Stormy Tea Cup","Tammy Silbermann","Canada","8","8","145","840","22","Food & Drink","Oil","1420070400000"
"Limited Edition Marble Cone Seashell Print","https://www.saatchiart.com/art/Painting-Limited-Edition-Marble-Cone-Seashell-Print/316356/3180965/view","Limited Edition Marble Cone Seashell Print","Edwina Paston-Cooper","United Kingdom","16","13","230","247","15","Beach","Gouache","1451606400000"
"Triangle Division Quilt Drawing","https://www.saatchiart.com/art/Painting-Triangle-Division-Quilt-Drawing/204051/2540548/view","Triangle Division Quilt Drawing","Clint Fulkerson","United States","10","8","240","1386","50","Geometric","Ink, Watercolor","1432771200000"
"Autumn Aspens","https://www.saatchiart.com/art/Painting-Autumn-Aspens/750381/3078851/view","Autumn Aspens","Kathy Symonds","United States","12","16","195","655","13","Landscape","Acrylic","1420070400000"
"design26  16x20""","https://www.saatchiart.com/art/Painting-design26-16x20/798571/2800253/view","design26  16x20""","Ron Halfant","United States","20","16","295","709","14","Abstract","Acrylic","1451606400000"
"Trees on Blue","https://www.saatchiart.com/art/Painting-Trees-on-Blue/872500/2974432/view","Trees on Blue","Clifford Palmer","United Kingdom","15","11","215","298","25","Landscape","Oil","1451606400000"
